character,gender,good_vs_bad,universe,first_movie,release_year,sentiment_score
Tootsie the Penguin,Female,Neutral,Disney,None,None,5.646421052631581
Weebo,Other,Heroine,Disney,Flubber,1997,5.504909638554215
Willie the Giant,Male,Hero,Disney,Fun and Fancy Free,1947,5.541334205362975
Winnie the Pooh,Male,Hero,Disney,The Many Adventures of Winnie the Pooh,1977,5.49132131090688
Xandra,Female,Heroine,Disney,None,None,5.502587301587298
LinaBell,Female,Heroine,Disney,None,None,5.815062761506277
Arizona Goof,Male,Hero,Disney,None,None,5.608122448979588
Bradley Uppercrust III,Male,Villain,Disney,An Extremely Goofy Movie,2000,5.3660958466453685
Captain Goof-Beard,Male,Neutral,Disney,None,None,5.67981981981982
Cedric,Male,Hero,Disney,None,None,5.7108450704225335
Clara Cluck,Female,Heroine,Disney,The Reluctant Dragon,1941,5.6883352080989935
Claude Frollo,Male,Villain,Disney,The Hunchback of Notre Dame,1996,5.290886627906966
Debbie (Goof Troop),Female,Heroine,Disney,None,None,5.4654633471645955
Eddie Valiant,Male,Hero,Other,Who Framed Roger Rabbit,1988,5.258991449669653
Ellsworth,Male,Neutral,Disney,None,None,5.475363357215968
Fairy Godmother,Female,Heroine,Disney,Cinderella,None,5.558090933262442
Finn Whitman,Male,Hero,Disney,None,None,5.533131782945738
Gene the Genie,Male,Hero,Disney,DuckTales the Movie: Treasure of the Lost Lamp,1990,5.437328571428572
Genie,Male,Hero,Disney,Aladdin,1992,5.4484374630920005
Gilbert Goof,Male,Neutral,Disney,None,None,5.671619047619049
Giselle,Female,Heroine,Disney,Enchanted,2007,5.5301399452388225
Gloomy the Clown,Male,Villain,Disney,None,None,5.363353028064991
Goofy's Father,Male,Neutral,Disney,None,None,5.470699386503064
Goofy's Mother,Female,Neutral,Disney,None,None,5.62596231493943
Grace,Female,Heroine,Disney,Home on the Range,2004,5.506040554962645
Grandma Goofy,Female,Neutral,Disney,None,None,5.717949886104786
Hades,Male,Villain,Disney,Hercules,1997,5.31587073608618
Heartless,Other,Villain,Other,None,None,5.393412759415832
Hop Pop Plantar,Male,Hero,Disney,None,None,5.446871670702182
Horace Horsecollar,Male,Hero,Disney,Who Framed Roger Rabbit,1988,5.50612650798825
Jessica Rabbit,Female,Heroine,Disney,Who Framed Roger Rabbit,1988,5.470404685835988
Junior the Buffalo,Male,Hero,Disney,Home on the Range,2004,5.459858044164034
Maggie,Female,Heroine,Disney,Home on the Range,2004,5.5183023255814
Max Goof,Male,Hero,Disney,A Goofy Movie,1995,5.510427859618709
Mr. Pettibone,Male,Hero,Disney,None,None,5.691027027027027
Mrs. Calloway,Female,Neutral,Disney,Home on the Range,2004,5.489553752535498
Mrs. Goof,Female,Heroine,Disney,None,None,5.527772177419348
P.J.,Male,Hero,Disney,A Goofy Movie,1995,5.4990859891761925
Quasimodo,Male,Hero,Disney,The Hunchback of Notre Dame,1996,5.401939083933966
Roger Rabbit,Male,Hero,Disney,Who Framed Roger Rabbit,1988,5.377840642129982
Santa Claus,Male,Hero,Disney,#Appearances,None,5.645206979131033
Super Goof,Male,Hero,Disney,None,None,5.643115530303031
Sylvia Marpole,Female,Heroine,Disney,An Extremely Goofy Movie,2000,5.643496062992127
Tank,Male,Neutral,Disney,An Extremely Goofy Movie,2000,5.484266304347827
The Evil Queen,Female,Villain,Disney,Snow White and the Seven Dwarfs,1937,5.414722425796985
The King (Cinderella),Male,Hero,Disney,Cinderella,None,5.527786711807019
Tiana,Female,Heroine,Disney,The Princess and the Frog,2009,5.533444299608937
Toodles,Male,Hero,Disney,None,None,5.536671779141102
Waffles,Male,Neutral,Disney,None,None,5.4774496644295265
Aladdin (character),Male,Hero,Disney,Aladdin,1992,5.4091334955675245
Andy Davis,Male,Neutral,Pixar,Toy Story,1995,5.52904018912529
Anna,Female,Heroine,Disney,Frozen,2013,5.474288188430903
Baymax,Other,Hero,Disney,Big Hero 6,None,5.4268477414330185
Bobo the Elephant,Male,Neutral,Disney,None,None,5.530613496932514
Charlie Chaplin,Male,Neutral,Other,None,None,5.657404844290655
Chief O'Hara,Male,Hero,Disney,Mickey's House of Villains,2002,5.485590828924164
Darcy Lewis,Female,Heroine,Other,Thor,None,5.4546430910281645
Eega Beeva,Male,Hero,Disney,None,None,5.61468030690537
Fagin,Male,Hero,Disney,Oliver & Company,1988,5.3920639680159885
Felicity Fieldmouse,Female,Neutral,Disney,None,None,5.640979381443299
Finnick,Male,Hero,Disney,Zootopia,2016,5.402526430915054
Funny the Talking House,Male,Hero,Disney,None,None,5.781103896103892
Gremlin Gus,Male,Hero,Disney,The Gremlins,None,5.56595463137996
Gubbles,Male,Neutral,Disney,None,None,5.542394366197181
Julius,Male,Villain,Disney,None,None,5.439259868421048
Melvin,Male,Neutral,Disney,Chicken Little,2005,5.491000000000002
Milton,Male,Neutral,Disney,None,None,5.37706976744186
Mortimer Mouse,Male,Villain,Disney,Mickey's Once Upon a Christmas,1999,5.4300397614314155
Morty and Ferdie Fieldmouse,Male,Hero,Disney,None,None,5.609431968295901
Nick Wilde,Male,Hero,Disney,Zootopia,2016,5.383379636937646
Olaf,Male,Hero,Disney,Frozen,2013,5.466078796561598
Oscar the Ostrich,Male,Neutral,Other,None,None,5.813571428571429
Pepe the King Prawn,Male,Hero,Other,Muppets from Space,None,5.634790996784564
Phantom Blot,Male,Villain,Disney,None,None,5.367916558693946
Powerline,Male,Neutral,Disney,A Goofy Movie,1995,5.553774062816615
Rajah,Male,Hero,Disney,Aladdin,1992,5.450070493454178
Rizzo the Rat,Male,Hero,Other,The Great Muppet Caper,None,5.538955453149008
Rolly,Male,Hero,Disney,One Hundred and One Dalmatians,1961,5.56363395225464
Sebastian,Male,Hero,Disney,The Little Mermaid,1989,5.476697353279623
Tanglefoot,Male,Neutral,Disney,None,None,5.567014925373138
The Apprentice (character),Male,Hero,Other,None,None,5.338176825919815
Tuppence,Male,Hero,Disney,None,None,5.5385909090909085
Waldo C. Graphic,Male,Neutral,Other,None,None,5.469376770538236
Yen Sid,Male,Hero,Disney,Fantasia,1940,5.485634451019057
Amanda Lockhart,Female,Heroine,Disney,None,None,5.469360000000002
Bob Cratchit,Male,Hero,Disney,A Christmas Carol,2009,5.64018987341772
Cuckoo-Loca,Other,Heroine,Disney,Mickey's Tale of Two Witches,None,5.62698544698545
Elsa,Female,Heroine,Disney,Frozen,2013,5.4523159860257815
Fifi the Peke,Female,Neutral,Disney,Lady and the Tramp,1955,5.578732183045758
Figaro,Male,Hero,Disney,Pinocchio,1940,5.561120689655173
Frankie the Canary,Male,Neutral,Disney,None,None,5.510810810810813
Lea,Male,Hero,Disney,None,None,5.393129610115905
Magic Brooms,Male,Neutral,Disney,Fantasia,1940,5.534977578475337
Marcus Mouse,Male,Neutral,Disney,None,None,5.438101694915255
Millie and Melody Mouse,Female,Heroine,Disney,None,None,5.688355437665781
Mizrabel,Female,Villain,Disney,None,None,5.506719653179189
Mortimer Mouse (Minnie's Uncle),Male,Neutral,Disney,None,None,5.538370786516854
Mrs. Mouse,Female,Neutral,Disney,None,None,5.587373737373738
Riku,Male,Hero,Other,None,None,5.294284234156455
The King (Brave Little Tailor),Male,Neutral,Disney,None,None,5.539239130434782
Xehanort,Male,Villain,Disney,None,None,5.366794453507345
Big Bad Wolf,Male,Villain,Disney,Who Framed Roger Rabbit,1988,5.375742916378711
Butch the Bulldog,Male,Villain,Disney,None,None,5.50219540229885
Dinah the Dachshund,Female,Neutral,Disney,None,None,5.69760869565217
Fawn Deer,Female,Heroine,Disney,None,None,5.7863203463203465
J. Audubon Woodlore,Male,Hero,Disney,Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,5.583891891891887
James P. Sullivan,Male,Hero,Pixar,"Monsters, Inc.",2001,5.3285699630693495
Kairi,Female,Heroine,Disney,None,None,5.459145052833814
Pluto Junior (character),Male,Hero,Disney,None,None,5.699080459770114
Pluto's Kid Brother (character),Male,Neutral,Disney,None,None,5.787553191489364
Pluto's Quin-puplets (characters),Female,Heroine,Disney,None,None,5.448878676470581
Tiki,Female,Neutral,Disney,None,None,5.62264069264069
Weasels,Male,Villain,Disney,The Adventures of Ichabod and Mr. Toad,1949,5.348589285714287
Abu,Male,Hero,Disney,Aladdin,1992,5.41156043374769
Air Pirates,Female,Villain,Disney,None,None,5.369243306169967
Bagheera,Male,Hero,Disney,The Jungle Book,1967,5.376118434818991
"Buzzie, Flaps, Ziggy, and Dizzy",Male,Hero,Disney,The Jungle Book,1967,5.461657397107903
Dr. Julius Plumford,Male,Hero,Disney,Rudyard Kipling's The Jungle Book,1994,5.412284836065575
Grey Brother,Female,Neutral,Disney,Rudyard Kipling's The Jungle Book,1994,5.45843322818086
"Hathi, Jr.",Male,Neutral,Disney,The Jungle Book,1967,5.544083969465647
Jasmine,Female,Heroine,Disney,Aladdin,1992,5.459807115649579
Kaa,Male,Villain,Disney,The Jungle Book,1967,5.372837438423639
Katherine Brydon,Female,Heroine,Other,Rudyard Kipling's The Jungle Book,1994,5.393998410174878
King Louie,Male,Hero,Disney,The Jungle Book,1967,5.509851870449408
Kit Cloudkicker,Male,Hero,Disney,Chip 'n Dale Rescue Rangers,2022,5.420015649452266
Lady Kluck,Female,Heroine,Disney,Robin Hood,1973,5.515867507886428
Little John,Male,Hero,Disney,Robin Hood,1973,5.39213362068965
Mowgli,Male,Hero,Disney,The Jungle Book,1967,5.3855205154289525
Rafiki,Male,Hero,Disney,The Lion King,1994,5.469889937106896
Ranjan,Male,Hero,Disney,The Jungle Book 2,2003,5.456028097062579
Rebecca Cunningham,Female,Heroine,Disney,Chip 'n Dale Rescue Rangers,2022,5.536033229491176
Shanti,Female,Heroine,Disney,The Jungle Book,1967,5.487104266599336
Shere Khan,Male,Villain,Disney,The Jungle Book,1967,5.308811550659317
Stinky Pete,Male,Villain,Pixar,Toy Story 2,1999,5.415970149253733
Tantor,Male,Hero,Disney,Tarzan,1999,5.492710280373835
Thomas O'Malley,Male,Hero,Disney,The Aristocats,1970,5.487416216216207
Timon,Male,Hero,Disney,The Lion King,1994,5.440544449670746
Wildcat,Male,Hero,Disney,None,None,5.493620309050774
William Boone,Male,Villain,Other,Rudyard Kipling's The Jungle Book,1994,5.287230597431598
Br'er Bear,Male,Villain,Disney,Song of the South,1946,5.45544457978075
Br'er Rabbit,Male,Hero,Disney,Song of the South,1946,5.46539813857291
Fozzie Bear,Male,Hero,Other,The Muppet Movie,None,5.54832076220722
Geppetto,Male,Hero,Disney,Pinocchio,1940,5.542049981890615
J. Thaddeus Toad,Male,Hero,Disney,The Adventures of Ichabod and Mr. Toad,1949,5.432745995423339
Judy Hopps,Female,Heroine,Disney,Zootopia,2016,5.406622068965509
Koda,Male,Hero,Disney,Brother Bear,2003,5.4411032222829
Lulubelle,Other,Neutral,Disney,Fun and Fancy Free,1947,5.620634005763687
Lumpjaw,Male,Villain,Other,Fun and Fancy Free,1947,5.504077380952379
Mr. Stork,Male,Hero,Disney,Dumbo,None,5.573874345549732
Anakin Skywalker,Male,Hero,Star Wars,Star Wars: The Phantom Menace,None,5.247465616997058
Boba Fett,Male,Hero,Star Wars,Star Wars: Attack of the Clones,None,5.230150933742639
Cad Bane,Male,Villain,Star Wars,None,None,5.234437209302323
Cham Syndulla,Male,Hero,Star Wars,None,None,5.291679999999995
Commander Cody,Male,Hero,Star Wars,Star Wars: Revenge of the Sith,None,5.1299999999999955
Gregor,Male,Neutral,Star Wars,None,None,5.08276836158192
Hera Syndulla,Female,Heroine,Other,None,None,5.270627296587927
Jango Fett,Male,Villain,Star Wars,Star Wars: Attack of the Clones,None,5.263023743016756
Mace Windu,Male,Hero,Star Wars,Star Wars: The Phantom Menace,None,5.227861352792589
Obi-Wan Kenobi,Male,Hero,Star Wars,Star Wars: The Phantom Menace,None,5.2030756872545565
Omega,Female,Neutral,Other,None,None,5.224549763033172
Palpatine,Male,Villain,Star Wars,Star Wars: The Phantom Menace,None,5.221068402886734
Rex (Star Wars),Male,Hero,Star Wars,Star Wars: The Clone Wars,None,5.178480635551138
Saw Gerrera,Male,Hero,Star Wars,Rogue One,2016,5.1748263579697245
Wilhuff Tarkin,Male,Villain,Star Wars,Star Wars: Revenge of the Sith,None,5.209428440786463
Wolffe,Male,Neutral,Star Wars,None,None,5.2029955947136575
Yoda,Male,Hero,Star Wars,Star Wars: The Phantom Menace,None,5.240686464385632
Miranda Wright,Female,Heroine,Disney,None,None,5.474890350877187
Ammonia Pine,Female,Villain,Disney,None,None,5.382463768115936
Ample Grime,Female,Villain,Disney,None,None,5.470152671755724
Bentina Beakley,Female,Heroine,Disney,DuckTales the Movie: Treasure of the Lost Lamp,1990,5.480640341515477
Bentley and Buford Buzzard,Male,Villain,Disney,None,None,5.467586206896551
Black Heron,Female,Villain,Disney,None,None,5.329121725731893
Bradford Buzzard,Male,Villain,Disney,None,None,5.344060211554113
Gandra Dee,Female,Heroine,Disney,None,None,5.468155339805823
Hotshot and Flygirl,Female,Villain,Disney,None,None,5.349238329238329
Jeeves,Male,Villain,Disney,None,None,5.441775280898878
Major Synapse,Male,Villain,Disney,None,None,5.316729729729731
Mr. Fantastic,Male,Neutral,Marvel,Doctor Strange in the Multiverse of Madness,None,5.533455598455596
Pepper (DuckTales),Female,Villain,Disney,None,None,5.2759672131147495
Taurus Bulba,Male,Villain,Disney,None,None,5.30082486551106
The High Command,Other,Villain,Disney,None,None,5.3534825870646765
Aldrin Klordane,Male,Villain,Disney,None,None,5.31091794158553
Fat Cat's Gang,Male,Villain,Disney,None,None,5.399677419354832
Maltese de Sade,Male,Villain,Disney,None,None,5.231332378223493
Ratigan,Male,Villain,Disney,The Great Mouse Detective,1986,5.326695869837294
Ebenezer Scrooge,Male,Hero,Other,The Muppet Christmas Carol,None,5.492850729517397
Fozziwig,Male,Neutral,Other,None,None,5.636475409836062
Jacob Marley,Male,Neutral,Disney,A Christmas Carol,2009,5.438800904977373
The Ghost of Christmas Past,Male,Neutral,Disney,The Muppet Christmas Carol,None,5.5700797872340395
Bud (Chip 'n Dale),Male,Villain,Disney,None,None,5.31798102981029
Lou (Chip 'n Dale),Male,Villain,Disney,None,None,5.324562146892649
Winifred (Chip 'n Dale),Female,Villain,Disney,None,None,5.458360655737702
Buzz Lightyear,Male,Hero,Pixar,Toy Story,1995,5.477409879839791
C-3PO,Other,Hero,Star Wars,Star Wars: A New Hope,None,5.3252310717797435
Figment,Male,Hero,Disney,Inside Out,2015,5.54896404919583
Fungus,Male,Neutral,Pixar,"Monsters, Inc.",2001,5.261254826254824
G2-4T,Other,Neutral,Other,None,None,5.495634408602148
Little Green Men,Male,Hero,Pixar,Toy Story,1995,5.507723199468964
Madame Leota,Female,Heroine,Disney,The Haunted Mansion,None,5.446765739852998
Mike Wazowski,Male,Hero,Pixar,"Monsters, Inc.",2001,5.351550126368999
Mr. Incredible,Male,Hero,Pixar,The Incredibles,2004,5.347074196455377
R2-D2,Other,Hero,Star Wars,Star Wars: The Phantom Menace,None,5.257247298156381
R5-D2,Other,Neutral,Other,None,None,5.516917293233085
Singing Geese,Other,Neutral,Disney,None,None,5.663942857142859
V.I.N.CENT,Other,Hero,Disney,The Black Hole,1979,5.419009628610728
WALL-E (character),Other,Hero,Pixar,WALL-E,2008,5.438238356956899
Woody,Male,Hero,Pixar,Toy Story,1995,5.473924490809729
Donald Drake and Plato,Male,Hero,Disney,None,None,5.34429347826087
Geegaw Hackwrench,Male,Neutral,Disney,None,None,5.716288659793816
Bushroot,Male,Villain,Disney,None,None,5.321722129783689
Honker Muddlefoot,Male,Hero,Disney,None,None,5.603000000000003
Liquidator,Male,Villain,Disney,None,None,5.410840707964604
Megavolt,Male,Villain,Disney,None,None,5.413028263795425
Negaduck,Male,Villain,Disney,None,None,5.303779963122311
Quackerjack,Male,Villain,Disney,None,None,5.350669144981407
Tank Muddlefoot,Male,Villain,Disney,None,None,5.585370370370371
Aunt Gertie,Female,Neutral,Disney,Mickey's Once Upon a Christmas,1999,5.77251290877797
Bubba the Cave Duck,Male,Hero,Disney,None,None,5.60610619469027
Buzz-Buzz the Bee,Male,Hero,Disney,None,None,5.611140350877188
Jiminy's Journal,Other,Neutral,Other,None,None,5.526197604790422
Levander Hart,Male,Neutral,Disney,None,None,5.389645293315139
Matilda McDuck,Female,Neutral,Disney,None,None,5.603753246753247
Randy Cunningham,Male,Hero,Disney,None,None,5.37566433566433
Three Little Wolves (characters),Male,Villain,Disney,None,None,5.344401330376941
Ventus,Male,Hero,Disney,None,None,5.353581213307235
Chewbacca,Male,Hero,Star Wars,Star Wars: Revenge of the Sith,None,5.270183921684962
Ferb Fletcher,Male,Hero,Disney,Phineas and Ferb the Movie: Across the 2nd Dimension,2011,5.5246054333764585
Flynn Rider,Male,Hero,Disney,Tangled,2010,5.409300192503687
Gary (The Muppets),Male,Hero,Other,The Muppets,2011,5.596540284360189
Gonzo,Male,Hero,Other,The Muppet Movie,None,5.568536682615632
Han Solo,Male,Hero,Star Wars,Star Wars: A New Hope,None,5.290258599045948
Jungle Navigation Company,Other,Neutral,Disney,None,None,5.478432203389827
Marion Ravenwood,Female,Heroine,Other,Raiders of the Lost Ark,None,5.658893280632409
Penn Zero,Other,Hero,Disney,None,None,5.48788683602771
Phineas Flynn,Male,Hero,Disney,Phineas and Ferb the Movie: Across the 2nd Dimension,2011,5.50637719765584
René Belloq,Male,Villain,Other,Raiders of the Lost Ark,None,5.318989623156745
Sallah,Male,Hero,Other,Raiders of the Lost Ark,None,5.502532110091744
Short Round,Other,Hero,Other,Indiana Jones and the Temple of Doom,None,5.383703703703702
Society of Explorers and Adventurers,Female,Heroine,Disney,None,None,5.431219615303323
Trader Sam,Female,Neutral,Disney,Jungle Cruise,2021,5.438852014900101
Walter,Male,Hero,Other,The Muppets,2011,5.469815157116449
Aqua,Female,Heroine,Disney,None,None,5.368312488990659
Aurora,Female,Heroine,Disney,Sleeping Beauty,1959,5.5040766719071135
Beast,Male,Hero,Disney,Beauty and the Beast,None,5.3606831750339206
Belle,Female,Heroine,Disney,Beauty and the Beast,None,5.447015074847162
Blue Fairy,Female,Heroine,Disney,Pinocchio,1940,5.552092374457538
Eeyore,Male,Hero,Disney,The Many Adventures of Winnie the Pooh,1977,5.500896569646567
Emma Swan,Female,Heroine,Other,None,None,5.379497372629669
Evil Regina,Female,Villain,Other,None,None,5.369857731958758
Gideon (Once Upon a Time),Male,Villain,Other,None,None,5.405491726506399
